tweet_id,tweet_text,year,tiffany,kishen,deepak,majority_rating,final_rating
664113554266591232,hydrogen group trainee recruitment consultant,2015,0,0,1,0,
618159820689031169,the clean gren home revolution,2015,0,1,1,0,
644759143799259136,why liquid hydrogen can soar a refined liquid oxygenlfim,2015,0,0,1,0,
586518340228796416,new job opening at hydrogen uk ltd in london salesforce crm business analyst jobs,2015,0,0,1,0,
581258634514067456,project manager at hydrogen group bristol somerset united kingdom todayjobpost jobs,2015,0,0,1,0,
633828869833932800,via groundbreaking new superconductor works at the warmest temperature yet,2015,0,1,0,0,
641142744606486528,senior funds opportunity elite us firm dubai united arab emirates dubai hydrogen group legal jobs,2015,0,0,1,0,
625015795647705088,niche recruiter hydrogen group sees quarterly rise in unemployment as a blip,2015,0,0,1,0,
597240938105208832,using hydrogen to magnetize graphene proves efficient,2015,0,1,0,0,
603920908378513408,r hardware electronics hydrogen gas sensor tgs,2015,0,0,1,0,
644502502742827008,hydrogengroup wsjlaw with global opportunities across the legal sector each month find your next role with …,2015,0,0,1,0,
621196874503057408,project planner pmo bristol city centre hydrogen group bristoljobs jobs bristol,2015,0,0,1,0,
550855874361970688,deuterium is an isotope of hydrogen which contains one proton and one neutron and one electron orbiting the nucleus myfirsttweet,2015,0,0,1,0,
624684144472236032,mystery beach blast in rhode island blamed on hydrogen gas,2015,0,0,1,0,
628588969760927744,better miles for each gallon in cooperation with liquid extract else la hydrogen fuse rgqtknsx,2015,0,0,1,0,
678244265659604992,thickness dependence and percolation scaling of hydrogen production rate in mos,2015,0,1,1,1,
1299536748108804096,the common booster cores liquid hydrogen loading operation is switching from slowfill to fastfill mode as plannedthe cryogenics are fed to the cbcs via umbilicals from the tail service masts on the launch table via spacetalklive,2020,0,1,1,1,
1333678694318018561,talk about taking one for the team there is precisely zero chance i will ever install a hydrogen cooker in my home,2020,0,0,1,1,
1341750180736065536,why hydrogen should hook up with nuclear,2020,1,0,1,1,
1341990994015825922,plug stock why hydrogen play plug power is climbing today 👇,2020,0,0,1,1,
1213150530437959682,i am an energy i can be stored i can be produced without greenhouse gas emissions 🌿 who am i❔ i am hydrogen 🎦,2020,1,0,1,1,
1381953481154699268,planet hydrogen is experimenting with a process adding a mineral salt to the electrolysis that actively binds with co producing an “ocean antacid” similar to baking soda 👉capture and permanently store kg of co for every kg of h it produces,2021,0,0,1,0,
1275141295451799554,the truth about hydrogen via,2020,0,0,1,1,
1242801024462700546,metacon and hynion continue their hydrogen cooperation,2020,0,0,1,1,
1239747022820741121,thermodynamic anomalies and three distinct liquidliquid transitions in warm dense liquid hydrogen,2020,0,0,1,0,
1324600671404912640,now on indiegogo “suisonochikara ” the power of hydrogen for health beauty fashionbeauty healthmedicine technology us,2020,0,0,1,1,
1310713444954505218,saudi arabia sends blue ammonia to japan in worldfirst shipment bloomberg,2020,0,1,0,1,
1433403957485912166,msmn tcf basin 🤩 most significant helium discoveries near mosman’s ep exploration starts soon magee well helium mt kitty well helium these are extremely high concentrations by world standards 💼 potential helium hydrogen demand is huge 👇,2021,0,0,1,0,
953332688286560257,more progress from our recent hydrogen installation in hempstead ny hempstead hydrogen h…,2018,0,0,1,1,
987408427440685056,swing by the linde world of hydrogen vr experience this weekend at the shell ecomarathon and take a turn zapping water molecules or get into the cockpit of a h volocopter to explore the city shellecomarathon makethefuture lindehydrogen,2018,0,0,1,0,
1234551908708253698,hydrogen energy at the root of life evolutionary biology sciencedaily since the discovery of submarine hydrothermal vents around years ago these natural chemical reactors have been a focus for,2020,0,0,1,0,
473930010361737217,jacs efficient photoelectrochemical hydrogen generation using heterostructures of si and chemically exfoliated,2014,0,1,0,0,
469372768531009536,hydrogen group is seeking for an yrs experienced it project manager … € per hour allinclusive,2014,0,0,1,0,
535191461781053440,teamfollowback nasa awards agencywide acquisition of liquid hydrogen contract nasa has award autofollowback,2014,0,0,1,0,
461208642302128129,check out this article researchers testing epoxy systems with liquid hydrogen storage tanks,2014,0,1,1,1,
525027588792930305,selfassembling hydrogel scaffolds for photocatalytic hydrogen production,2014,0,1,1,1,
506842798684143616,lockheed buys hydrogen capturestorage venture lockheedmartin,2014,0,1,0,1,
463633748114677760,looking for a tour of the hydrogen office project,2014,1,0,0,0,
506443413622112256,kawasaki tease with new ninja h bike could it have a super charger or is it a cylinder,2014,1,0,0,0,
1194074149540380672,new catalyst efficiently produces hydrogen from seawater wonderful information hgohd harjgtheonedba harjgtheone harjgtwo hwozone,2019,0,1,1,1,
1197519800861429761,why ilva should remain open all goes according to plan voestalpine will use hydrogen from the new plant to transition out of blast furnace technology that relies on coal and coke and into high efficiency electric arc furnace…,2019,0,1,1,1,
1190195666536062976,crystalline niohamorphous nimoox mixed‐catalyst with pt‐like performance for hydrogen production,2019,0,1,0,0,
709214483604869120,in my keynote speech i will talk about the path to decarbonization crinph,2016,1,0,0,0,
1184013864557404160,million tonsley hydrogen cracker is crackers,2019,0,0,1,1,
1582424789666656262,pr launch sale for a limited time you can get our standard service for only we also offer a service where well write the press release for you learn more pressrelease greenmarketing lowcostmarketing,2022,1,0,0,0,
825166313370836992,scientists turn hydrogen into metal in breakthrough that could revolutionise the planet,2017,0,1,0,0,
1188791793594359810,on the day of the environment bill second reading great to see that the th electric black cab has been made in the uk not causing any nitrogen oxide pollution on our roads and saving cabbies an average of £ a week on diesel costs,2019,0,1,0,0,
1080816078656278528,green hydrogen separation from nitrogen by mixed matrix membranes consisting of nanosized sodalite crystals acceptedarticle,2019,0,1,0,0,
1134217988788424704,imt nkat nitrogen purities up to with an air factor from our new nkat system combines our proven pan technology power as needed with the advantages of a hydrogen catalyst for further energy optimisation,2019,0,1,0,0,
882644026825990144,hamburg is ready to fill up with hydrogen customers aren’t so sure,2017,0,0,1,1,
906165620693196803,the technology behind the hydrogenone s holographic display has finally been revealed,2017,1,0,0,0,
1204126857295093760,forget shipping hydrogen abb’s hvdc cabling will allow long distance power exports – abb ltd nyseabb,2019,0,0,1,1,
1186651540020453376,renault loses its marbles dissolved in hydrogen,2019,0,1,0,0,
